Signal Photons,Reflectivity,Channel,Ambiant Photons,Range,Raw Timestamp,Point:0,Point:1,Point:2,Point ID,Angle,Range(m)
515,108,4,138,4428,610640000000.0,4.3924,-0.158461,0.536702,244,-1.0330583260361792,4.395257404125611
360,97,5,89,4334,610640000000.0,4.31537,-0.157039,0.368933,245,-1.042054709946526,4.31822642810923
157,41,6,95,4011,610640000000.0,4.00349,-0.146544,0.196318,246,-1.0481611984666217,4.006171155110076
133,23,7,196,4887,610640000000.0,4.88328,-0.1804,0.0616828,247,-1.0578402646842238,4.886611066823305
58,11,8,76,1844,610640000000.0,1.8422,-0.0685782,-0.0435412,248,-1.0659613220147146,1.8434760127311773
0,0,0,0,0,0.0,0.0,0.0,0.0,249,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,250,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,251,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,252,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,253,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,254,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,255,,0.0
668,103,0,114,7744,610640000000.0,7.45857,-0.30251,2.05935,256,-1.1612850428460637,7.464702187294548
328,40,1,94,8028,610640000000.0,7.80639,-0.320557,1.84418,257,-1.1757195303718333,7.81296880976425
743,119,2,86,5174,610640000000.0,5.07171,-0.209941,1.00075,258,-1.18518900578249,5.076053343650065
818,122,3,141,5165,610640000000.0,5.09617,-0.212108,0.81221,259,-1.1916677572467154,5.100582169964915
267,65,4,148,4500,610640000000.0,4.46275,-0.18842,0.545453,260,-1.208813278197821,4.466725832072078
374,100,5,68,4376,610640000000.0,4.35613,-0.185291,0.372518,261,-1.2178236795282782,4.3600689594983475
165,44,6,69,4023,610640000000.0,4.01449,-0.171617,0.196907,262,-1.2239346000438684,4.018156586643806
325,45,7,150,5940,610640000000.0,5.93402,-0.255638,0.0750067,263,-1.2333904745224848,5.9395238990548735
44,8,8,84,1811,610640000000.0,1.80879,-0.0784549,-0.0427568,264,-1.2418022250519283,1.8104906615152725
0,0,0,0,0,0.0,0.0,0.0,0.0,265,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,266,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,267,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,268,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,269,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,270,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,271,,0.0
526,83,0,107,7709,610640000000.0,7.42287,-0.346697,2.05003,272,-1.3370737374708237,7.430962107742778
837,111,1,117,8138,610640000000.0,7.91121,-0.373495,1.86948,273,-1.3514879135501752,7.920021602188026
796,120,2,103,5200,610640000000.0,5.09581,-0.242267,1.00579,274,-1.3609644548260695,5.1015657258717155
795,121,3,117,5175,610640000000.0,5.10464,-0.243844,0.813786,275,-1.3674440966258825,5.110460784110959
779,119,4,158,5157,610640000000.0,5.11288,-0.247271,0.625304,276,-1.3844012142157793,5.118855813738163
538,108,5,81,4416,610640000000.0,4.39472,-0.213952,0.375932,277,-1.3935899928261728,4.399924923984954
196,50,6,77,4046,610640000000.0,4.03631,-0.197367,0.198036,278,-1.3997062045413609,4.041132532940364
328,86,7,218,4242,610640000000.0,4.23653,-0.208624,0.0535214,279,-1.4096001436111272,4.241663637569109
72,13,8,81,1848,610640000000.0,1.84522,-0.091377,-0.0436363,280,-1.4175120058187907,1.847481151332538
0,0,0,0,0,0.0,0.0,0.0,0.0,281,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,282,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,283,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,284,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,285,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,286,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,287,,0.0
261,33,0,100,7783,610640000000.0,7.49184,-0.395999,2.06974,288,-1.51284440098428,7.5022984340534595
836,111,1,127,8154,610640000000.0,7.92432,-0.42286,1.87317,289,-1.5272689484732613,7.935594372320198
792,120,2,98,5201,610640000000.0,5.09521,-0.273582,1.00598,290,-1.5367429383847664,5.102549564171229
