Angle,Range
-12.25877838,9.478903312
-12.26527068,9.454469568
-12.28225036,9.477304291
-12.29121558,9.485291622
-12.29771216,5.642200516
-12.30760271,6.020521241
-12.31574457,1.961447635
,0
,0
,0
,0
,0
,0
,0
-12.41106636,9.50522675
-12.42556695,9.529649058
-12.43455597,9.526978502
-12.44104753,9.506803902
-12.45801966,9.515019871
-12.46699001,9.503226243
-12.47345087,5.693134864
-12.48339121,6.002519543
-12.49160836,1.901467368
,0
,0
,0
,0
,0
,0
,0
-12.58684299,9.506194565
-12.60134886,9.570527153
-12.6103174,9.562287999
-12.61681936,9.555196269
-12.63378257,9.522966169
-12.6427968,9.48728722
-12.64914078,6.130614318
-12.6591745,5.956519675
-12.66727836,1.970448618
,0
,0
,0
,0
,0
,0
,0
-12.76267109,9.091730349
-12.77711654,9.617232904
-12.78608567,9.60153437
-12.79258704,9.58876282
-12.80958326,9.606339026
-12.81855611,9.541086472
-12.82492849,6.148584939
-12.83496391,5.961525721
-12.84304633,1.97944421
,0
,0
,0
,0
,0
,0
,0
-12.93839639,9.636319118
-12.9528983,9.562734971
-12.96189512,9.647641012
-12.96838675,9.6430773
-12.98534505,9.588471289
-12.9943469,9.624782922
-13.0007223,6.163567893
-13.01071779,5.965525437
-13.01887004,1.946455282
,0
,0
,0
,0
,0
,0
,0
-13.11417393,9.667162837
-13.12869695,9.494615675
-13.13766033,9.70355894
-13.14414415,9.69344541
-13.1612059,8.708051275
-13.17013183,9.660648275
-13.1764924,6.181549406
-13.18652214,5.894527422
-13.19460486,2.000434294
,0
,0
,0
,0
,0
,0
,0
-13.28996301,9.732709807
-13.30448454,9.364208227
-13.31342726,9.738873276
-13.31992801,9.734913595
-13.33699946,8.683231144
-13.34595955,9.096713548
-13.35209038,7.422045795
-13.36231681,5.881525582
-13.37042085,1.986437779
,0
,0
,0
,0
,0
,0
,0
-13.46576025,9.774151446
-13.48026492,9.440121255
-13.48922601,9.765364291
-13.49570278,9.776386702
-13.51277047,8.746760775
-13.52174456,8.897441323
-13.52786446,7.396083941
-13.53810445,5.843529856
-13.54613303,2.001439361
,0
,0
,0
,0
,0
,0
,0
-13.64151863,9.780895481
-13.65602319,9.450820021
-13.66500301,9.756534485
-13.67148655,9.767504069
-13.68855363,8.772564321
-13.69752503,8.819727059
-13.70364662,7.410069977
-13.71388802,5.802529692
-13.7219108,2.009435546
,0
,0
,0
,0
,0
,0
,0
-13.81730947,9.747162281
-13.83180966,9.442065706
-13.84078463,9.715337303
-13.84728385,9.698378617
-13.8643146,8.692167711
-13.87339559,7.792489429
-13.87942574,7.467999534
-13.88964901,5.76453606
-13.89770919,2.011432577
,0
,0
,0
,0
,0
,0
,0
-13.99311029,9.661376833
-14.00756643,9.611399521
-14.01656048,9.650584631
-14.02306842,9.635175725
-14.04012206,8.650485373
-14.04918623,7.796481384
-14.05523009,7.522928123
-14.06544939,5.785540065
-14.07347892,2.016432174
-14.09115691,0.904368544
,0
,0
,0
,0
,0
,0
-14.16889352,9.596796996
-14.18335405,9.594854153
-14.19236677,9.575047481
-14.19882757,9.576919523
-14.21592274,8.267343197
-14.22496898,7.804455233
-14.23099702,7.529926351
-14.24123443,5.809538728
-14.24925554,2.003437499
,0
,0
,0
,0
,0
,0
,0
-14.34466658,9.589089244
-14.35916415,9.585121874
-14.368134,9.583870206
-14.37463261,9.566060279
-14.39171107,8.280247415
-14.40073487,8.022646986
-14.40676238,7.628799228
-14.41695456,6.097510774
-14.42504237,2.012432626
,0
,0
,0
,0
,0
,0
,0
-14.52044168,9.624756473
-14.53492294,9.631830413
-14.54390656,9.617226462
-14.5503968,9.619377428
-14.56747372,8.313994674
-14.57646442,8.47000885
-14.58244567,8.578654479
-14.59267364,6.420480456
-14.60082871,2.00943292
,0
,0
,0
,0
,0
,0
,0
-14.69622566,9.665233557
-14.71068434,9.683413372
-14.71969332,9.682961289
-14.72617545,9.666776755
-14.74326128,8.3924057
-14.75226116,8.491930495
-14.75826447,8.344939648
-14.76846071,6.393489409
-14.77662353,2.011431935
-14.79417655,0.917345095
,0
,0
,0
,0
,0
,0
-14.8719997,9.670051795
-14.88648609,9.722341045
-14.895462,9.72710347
-14.90196278,9.71319003
-14.91904955,8.453949543
-14.92802382,8.533783172
-14.93402411,8.291997918
-14.94427118,6.374490019
-14.95244857,2.019428552
-14.96993227,0.920339587
,0
,0
,0
,0
,0
,0
-15.04780634,9.391488213
-15.06226014,9.769049983
-15.07123814,9.774192266
-15.07772173,9.773430149
-15.09483079,8.483725407
-15.10380901,8.569650762
-15.10981929,8.296991794
-15.12005941,6.371486807
-15.12820838,2.02143122
-15.14569653,0.921338059
,0
,0
,0
,0
,0
,0
-15.22358392,9.347152278
-15.23803236,9.839122212
-15.24701622,9.823240854
-15.25351062,9.811936169
-15.27060559,8.537325401
-15.27957043,8.634407607
-15.28559515,8.422843074
-15.2958357,6.374486438
-15.3039768,2.025430484
,0
,0
,0
,0
,0
,0
,0
-15.39937227,9.33655375
-15.41379789,9.900430334
-15.4228146,9.882105616
-15.4293018,9.880075854
-15.44637774,8.592907192
-15.45533822,8.680241688
-15.46135196,8.458802876
-15.47162005,6.379487098
-15.47972047,2.026432433
,0
,0
,0
,0
,0
,0
,0
-15.57514465,9.380888552
-15.58957602,9.9490891
-15.59857136,9.922326754
-15.60507878,9.933408241
-15.62215685,8.637574913
-15.63113788,8.734047571
-15.63715754,8.476776514
-15.64734196,6.431486007
-15.65548369,2.044420723
-15.67333334,0.881410765
,0
,0
,0
,0
,0
,0
-15.75093743,9.375104093
-15.76535848,9.995800787
-15.77436516,9.977264975
-15.78083326,9.981793742
-15.79794265,8.672314309
-15.80691571,8.824713855
-15.81291921,8.50973627
-15.82313404,6.362489829
-15.83116847,2.06042053
,0
,0
,0
,0
,0
,0
,0
-15.92670956,9.368354634
-15.94115107,10.04057219
-15.95013232,10.0449575
-15.95662156,10.03610153
-15.97369484,8.730878411
-15.9826855,8.844638247
-15.98868951,8.505745185
-15.99893293,6.38248473
-16.00697417,2.063416276
,0
,0
,0
,0
,0
,0
,0
-16.10250689,9.232455255
-16.11690573,10.51353049
-16.12586967,10.50996553
-16.13237414,10.51109331
-16.14949531,8.770581075
-16.15845377,8.878515538
-16.16471122,6.663969806
-16.17472742,6.401489263
-16.18277878,2.075416156
,0
,0
,0
,0
,0
,0
,0
-16.27829034,9.253655316
-16.2926695,10.56608499
-16.30167401,10.55705036
-16.30815346,10.55849497
-16.325261,8.855942675
-16.33424086,8.961213765
-16.34048567,6.618017282
-16.35049248,6.437481139
-16.35859198,2.087410326
,0
,0
,0
,0
,0
,0
,0
-16.45405899,9.310530809
-16.46846168,10.62349866
-16.47744948,10.62082032
-16.48392163,10.61379448
-16.50101705,8.986965875
-16.51002182,8.976159381
-16.51625189,6.688940589
-16.5262832,6.542475295
-16.53434723,2.077416157
,0
,0
,0
,0
,0
,0
,0
-16.62983992,9.404988059
-16.64421908,10.67507648
-16.65320236,10.69243546
-16.65971462,10.69773083
-16.67680426,9.016748913
